player_code,first_seen_season,last_seen_season,canonical_name,name_variants,seasons_seen
100000084,2024-25,2024-25,David Moyes,David Moyes,1
100037568,2024-25,2024-25,Unai Emery,Unai Emery,1
100037973,2024-25,2024-25,Pep Guardiola,Pep Guardiola,1
100038215,2024-25,2024-25,Eddie Howe,Eddie Howe,1
100040854,2024-25,2024-25,Vítor Manuel de Oliveira Lopes Pereira,Vítor Manuel de Oliveira Lopes Pereira,1
100041800,2024-25,2024-25,Marco Alexandre Saraiva da Silva,Marco Alexandre Saraiva da Silva,1
100041808,2024-25,2024-25,Nuno Herlander Simões Espírito Santo,Nuno Herlander Simões Espírito Santo,1
100041880,2024-25,2024-25,Ange Postecoglou,Ange Postecoglou,1
100042830,2024-25,2024-25,Thomas Frank,Thomas Frank,1
100044409,2024-25,2024-25,Oliver Glasner,Oliver Glasner,1
100046435,2024-25,2024-25,Graham Potter,Graham Potter,1
100047417,2024-25,2024-25,Kieran McKenna,Kieran McKenna,1
100047426,2024-25,2024-25,Simon Rusk,Simon Rusk,1
100048548,2024-25,2024-25,Enzo Maresca,Enzo Maresca,1
100050427,2024-25,2024-25,Andoni Iraola,Andoni Iraola,1
100050995,2024-25,2024-25,Ruud van Nistelrooij,Ruud van Nistelrooij,1
100051017,2024-25,2024-25,Mikel Arteta,Mikel Arteta,1
100052173,2024-25,2024-25,Arne Slot,Arne Slot,1
100053636,2024-25,2024-25,Ruben Filipe Marques Diogo Amorim,Ruben Filipe Marques Diogo Amorim,1
100053901,2024-25,2024-25,Fabian Hürzeler,Fabian Hürzeler,1
100059,2016-17,2018-19,Alberto Moreno,Alberto Moreno,3
100180,2017-18,2019-20,Danilo Luiz da Silva,Danilo Luiz da Silva,3
100412,2017-18,2017-18,André Carrillo,André Carrillo,1
100649,2018-19,2021-22,Bernard Anício Caldeira Duarte,Bernard Anício Caldeira Duarte,4
101061,2019-20,2019-20,Philip Heise,Philip Heise,1
101105,2018-19,2022-23,Joe Bryan,Joe Bryan,3
101148,2017-18,2025-26,Jamaal Lascelles,Jamaal Lascelles,9
101178,2016-17,2025-26,James Ward-Prowse,James Ward-Prowse,10
101179,2016-17,2016-17,Lloyd Isgrove,Lloyd Isgrove,1
101184,2016-17,2023-24,Calum Chambers,Calum Chambers,8
101188,2018-19,2025-26,Lucas Digne,Lucas Digne,8
101338,2022-23,2022-23,Marcel Sabitzer,Marcel Sabitzer,1
