player_code,fpl_name,understat_player_id,understat_name
100000084,David Moyes,,
100037568,Unai Emery,,
100037973,Pep Guardiola,,
100038215,Eddie Howe,,
100040854,Vítor Manuel de Oliveira Lopes Pereira,,
100041800,Marco Alexandre Saraiva da Silva,,
100041808,Nuno Herlander Simões Espírito Santo,,
100041880,Ange Postecoglou,,
100042830,Thomas Frank,,
100044409,Oliver Glasner,,
100046435,Graham Potter,10809,Keane Lewis-Potter
100047417,Kieran McKenna,,
100047426,Simon Rusk,,
100048548,Enzo Maresca,,
100050427,Andoni Iraola,,
100050995,Ruud van Nistelrooij,,
100051017,Mikel Arteta,,
100052173,Arne Slot,,
100053636,Ruben Filipe Marques Diogo Amorim,,
100053901,Fabian Hürzeler,,
100059,Alberto Moreno,608,Alberto Moreno
100180,Danilo Luiz da Silva,,
100412,André Carrillo,6230,André Carrillo
100649,Bernard Anício Caldeira Duarte,,
101061,Philip Heise,,
101105,Joe Bryan,6834,Joe Bryan
101148,Jamaal Lascelles,766,Jamaal Lascelles
101178,James Ward-Prowse,843,James Ward-Prowse
101179,Lloyd Isgrove,,
101184,Calum Chambers,508,Calum Chambers
101188,Lucas Digne,1823,Lucas Digne
101338,Marcel Sabitzer,5248,Marcel Sabitzer
101394,Okay Yokuslu,6932,Okay Yokuslu
101537,Felipe Anderson Pereira Gomes,1208,Felipe Anderson
101582,Frederico Rodrigues de Paula Santos,11808,Andrey Santos
101668,Jamie Vardy,755,Jamie Vardy
101982,Sam Johnstone,978,Sam Johnstone
102057,Raúl Jiménez,4105,Raúl Jiménez
102366,Moritz Bauer,5453,Moritz Bauer
102380,Antonio Rüdiger,1822,Antonio Rüdiger
102549,Adam Davies,,
102738,Giannelli Imbula,861,Giannelli Imbula
102747,Djibril Sidibé,3357,Djibril Sidibe
102826,Benjamin Mendy,3389,Benjamin Mendy
102836,Brice Samba,,
102884,Paulo Gazzaniga,973,Paulo Gazzaniga
103025,Riyad Mahrez,750,Riyad Mahrez
103100,Jonathan Williams,709,Ashley Williams
103123,Sébastien Haller,6144,Sébastien Haller
103127,Molla Wagué,1159,Molla Wagué
10318,Maarten Stekelenburg,846,Maarten Stekelenburg
103192,Kurt Zouma,935,Kurt Zouma
103912,Jordon Ibe,481,Jordon Ibe
103914,Charlie Taylor,6044,Charlie Taylor
103955,Raheem Sterling,618,Raheem Sterling
104047,Pelly Ruddock Mpanzu,11716,Pelly Ruddock Mpanzu
104073,Joe Ralls,6825,Joe Ralls
104535,Harry Bunn,,
104542,Loris Karius,37,Loris Karius
104545,Tommy Smith,6029,Tommy Smith
104547,Dwight Gayle,743,Dwight Gayle
10460,Grant Leadbitter,5542,Grant Leadbitter
104953,Christian Atsu,2344,Christian Atsu
105377,Ezgjan Alioski,8722,Ezgjan Alioski
105666,Jack Butland,856,Jack Butland
105700,Davide Zappacosta,1178,Davide Zappacosta
105717,Arthur Masuaku,1760,Arthur Masuaku
10589,Brian Murphy,,
106449,Kevin Stewart,479,Kevin Stewart
106450,Alex Pritchard,815,Alex Pritchard
106468,Alexandre Moreno Lopera,4120,Álex Moreno
106603,Ezekiel Fryers,1671,Ezekiel Fryers
106606,Massimo Luongo,12747,Massimo Luongo
106611,Michael Keane,1653,Michael Keane
106617,Patrick Bamford,822,Patrick Bamford
106618,Paul Dummett,853,Paul Dummett
106757,Jürgen Locadia,6542,Jürgen Locadia
106760,Luke Shaw,1006,Luke Shaw
106824,Memphis Depay,555,Memphis Depay
106837,Dennis Praet,1234,Dennis Praet
106899,Roque Mesa,2356,Roque Mesa
107265,Angus Gunn,5544,Angus Gunn
107613,Romain Saïss,3491,Romain Saiss
108053,Conor Townsend,8905,Conor Townsend
108093,Luciano Vietto,2274,Luciano Vietto
108156,Bjorn Engels,7152,Björn Engels
108411,Dan Potts,,
108413,Will Hughes,6104,Will Hughes
108416,John Egan,7703,John Egan
108438,Sandro Ramírez,2537,Sandro Ramírez
108796,Tom Lockyer,11714,Tom Lockyer
108813,Christian Walton,9251,Christian Walton
108823,Bamidele Alli,645,Dele Alli
108824,Brendan Galloway,909,Brendan Galloway
109065,Davy Klaassen,6045,Davy Klaassen
109322,Jesse Lingard,558,Jesse Lingard
109345,Solomon March,6049,Solly March
109434,Terence Kongolo,6067,Terence Kongolo
109528,Javier Manquillo,1719,Javier Manquillo
109533,Emerson Palmieri dos Santos,11808,Andrey Santos
109638,Kean Bryan,9163,Kean Bryan
109646,Oluwatosin Adarabioyo,5590,Tosin Adarabioyo
109745,Kepa Arrizabalaga,,
109788,João Mário Naval Costa Eduardo,1512,João Mário
109999,Ibrahima Cissé,6839,Ibrahima Cissé
11037,Rickie Lambert,816,Rickie Lambert
110504,Bertrand Traore,900,Adama Traoré
110735,Adam Webster,7699,Adam Webster
110979,Sadio Mané,838,Sadio Mané
111234,Jordan Pickford,741,Jordan Pickford
111291,Fernando Marçal,5708,Fernando Marçal
111317,David Brooks,6820,David Brooks
111452,Odysseas Vlachodimos,375,Odisseas Vlachodimos
111457,Sead Kolasinac,342,Sead Kolasinac
111478,Joël Veltman,8780,Joël Veltman
111773,Emil Krafth,1545,Emil Krafth
111782,Robin Olsen,6962,Robin Olsen
111787,Modou Barrow,720,Modou Barrow
111847,Adama Diomande,1694,Adama Diomande
111931,Ricardo Domingos Barbosa Pereira,3303,Ricardo Pereira
112139,James Wilson,,
112316,Jakob Haugaard,,
112338,Emre Can,604,Emre Can
112507,Jack Rose,641,Danny Rose
112516,Isaiah Brown,4481,Isaiah Brown
112520,Alex Palmer,705,Kasey Palmer
11334,Petr Cech,491,Petr Cech
11352,Bruno Saltor Grau,,
113534,Matt Macey,,
113564,Sam Byram,902,Sam Byram
113688,Oumar Niasse,599,Oumar Niasse
114000,George Honeyman,1046,George Honeyman
114054,Omar Bogle,,
114093,Matthew Pennington,920,Matthew Pennington
114128,Jonathan Castro Otto,,
114241,Harry Toffolo,10758,Harry Toffolo
114243,Jacob Murphy,6063,Jacob Murphy
114245,Josh Murphy,6828,Josh Murphy
114283,Jack Grealish,675,Jack Grealish
114536,Ryan Inniss,,
11467,Billy Jones,742,Billy Jones
115357,Mouez Hassen,,
115382,Neal Maupay,3621,Neal Maupay
11554,Julian Speroni,523,Julian Speroni
115556,Ben Davies,660,Ben Davies
115854,Duncan Watmore,919,Duncan Watmore
115858,Rachid Ghezzal,3276,Rachid Ghezzal
115918,Rúnar Alex Rúnarsson,6875,Rúnar Alex Rúnarsson
116216,Leandro Trossard,7698,Leandro Trossard
116404,Felipe Augusto de Almeida Monteiro,,
116535,Alisson Ramses Becker,,
116543,Valentino Lazaro,6352,Valentino Lazaro
116594,N'Golo Kanté,751,N&#039;Golo Kanté
116643,Fabio Henrique Tavares,9395,Sidnei Tavares
11735,Steve Sidwell,,
11829,Wayne Routledge,719,Wayne Routledge
118335,Abdul Rahman Baba,,
118342,Mark Flekken,7047,Mark Flekken
11854,Daryl Murphy,,
118748,Mohamed Salah,1250,Mohamed Salah
118884,Erik Durm,2640,Erik Durm
119471,Fabian Schär,76,Fabian Schär
11948,Andy Lonergan,,
11974,Eldin Jakupovic,1697,Eldin Jakupovic
119765,Allan Marques Loureiro,,
12002,Stewart Downing,1712,Stewart Downing
120202,Wout Weghorst,7052,Wout Weghorst
120250,André Filipe Tavares Gomes,2383,André Gomes
120447,Bradley Smith,,
120721,Kevin Mbabu,983,Kevin Mbabu
12086,Boaz Myhill,820,Boaz Myhill
121145,João Pedro Cavaco Cancelo,2379,João Cancelo
121160,Ederson Santana de Moraes,,
121221,Ramiro Funes Mori,597,Ramiro Funes Mori
12150,Glenn Whelan,862,Glenn Whelan
121570,Julian Jeanvier,,
121599,Abdoulaye Doucouré,1726,Abdoulaye Doucouré
121709,Walter Benítez,5652,Walter Benítez
122074,Marcus Bettinelli,7076,Marcus Bettinelli
122342,Emerson Hyndman,6457,Emerson Hyndman
122411,Cameron Burgess,12755,Cameron Burgess
122775,Morgan Sanson,3696,Morgan Sanson
122797,Callum Paterson,6826,Callum Paterson
122798,Andrew Robertson,1688,Andrew Robertson
122806,John McGinn,7723,John McGinn
123125,Viktor Fischer,1713,Viktor Fischer
123354,Kortney Hause,6859,Kortney Hause
12390,Allan McGregor,,
12413,Robert Huth,747,Robert Huth
124165,Patrick Roberts,925,Patrick Roberts
124183,Hakim Ziyech,8992,Hakim Ziyech
1243,Robert Green,,
12496,Víctor Valdés,1705,Víctor Valdés
