player_code,fpl_name,understat_player_id,understat_name
27789,Fernando Luiz Rosa,615,Fernando
52538,Fernando Francisco Reges,615,Fernando
100180,Danilo Luiz da Silva,617,David Silva
20664,David Silva,617,David Silva
115556,Ben Davies,660,Ben Davies
152898,Ben Davies,660,Ben Davies
122798,Andrew Robertson,1688,Andrew Robertson
434043,Alex Robertson,1688,Andrew Robertson
215885,Michael Phillips,1737,Matt Phillips
50229,Matt Phillips,1737,Matt Phillips
165809,Bernardo Mota Veiga de Carvalho e Silva,3635,Bernardo Silva
209362,Bernardo Fernandes da Silva Junior,3635,Bernardo Silva
240796,Álvaro Fernández,5191,Álvaro Fernández
515501,Álvaro Fernández,5191,Álvaro Fernández
103914,Charlie Taylor,6044,Charlie Taylor
470255,Caleb Taylor,6044,Charlie Taylor
209925,Alexandre Nascimento Costa Silva,6464,Adrien Silva
46483,Adrien Sebastian Perruchet Silva,6464,Adrien Silva
75826,Danny Ward,6830,Danny Ward
95463,Danny Ward,6830,Danny Ward
155405,Kalvin Phillips,8719,Kalvin Phillips
532135,Killian Phillips,8719,Kalvin Phillips
422303,John McAtee,10126,James McAtee
432714,James McAtee,10126,James McAtee
467169,Antony Matheus dos Santos,11808,Andrey Santos
532605,Andrey Nascimento dos Santos,11808,Andrey Santos
653481,Alysson Edward Franco da Rocha dos Santos,11808,Andrey Santos
