player_code,fpl_name,candidates,total_minutes
122798,Andrew Robertson,Andrew Robertson (1688),24836
165809,Bernardo Mota Veiga de Carvalho e Silva,Adrien Silva (6464); Bernardo (1716); Bernardo (5245); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),21611
115556,Ben Davies,Ben Davies (660),16040
220566,Rodrigo Hernandez,"",15535
103914,Charlie Taylor,Charlie Taylor (6044),13970
47431,Willian Borges Da Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Willian (700); Xande Silva (7312),13918
27789,Fernando Luiz Rosa,Fernando (615); Fernando López (13200),12542
116643,Fabio Henrique Tavares,Fabio (1752),11627
20664,David Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),9411
101582,Frederico Rodrigues de Paula Santos,Andrey Santos (11808),8839
224024,Lucas Tolentino Coelho de Lima,Lucas Paquetá (7365),8668
109533,Emerson Palmieri dos Santos,Andrey Santos (11808); Emerson (1245),8615
48760,Mathias Jorgensen,"",8266
510362,Toti António Gomes,Toti (10293),8145
575476,Murillo Santiago Costa dos Santos,Andrey Santos (11808); Murillo (12123),8108
441191,Valentino Livramento,Valentino Livramento (9512),7689
204214,Pervis Estupiñán,Estupiñán (5136),6315
50229,Matt Phillips,Kalvin Phillips (8719); Matt Phillips (1737),6083
155405,Kalvin Phillips,Kalvin Phillips (8719); Matt Phillips (1737),5938
457569,Đorđe Petrović,Djordje Petrovic (12032),5406
509291,André Trindade da Costa Neto,André (13022),5232
67527,Allan-Roméo Nyom,Nyom (565),4944
503714,Lesley Ugochukwu,Chimuanya Ugochukwu (9451),4278
39476,Sokratis Papastathopoulos,Sokratis (371),3894
182539,Daniel Ceballos Fernández,Dani Ceballos (2446); Álvaro Fernández (5191),3296
467169,Antony Matheus dos Santos,Andrey Santos (11808); Antony (11094),3249
11352,Bruno Saltor Grau,Bruno (6046),3145
146426,Oluwasemilogo Adesewo Ibidapo Ajayi,Semi Ajayi (4490),2779
209362,Bernardo Fernandes da Silva Junior,Adrien Silva (6464); Bernardo (1716); Bernardo (5245); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),2629
95463,Danny Ward,Danny Ward (473); Danny Ward (6830),2565
432714,James McAtee,James McAtee (10126),2461
551483,Álex Jiménez Sánchez,Alejandro Jiménez (12168),2315
441455,Victor da Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),2311
485047,Felipe Rodrigues da Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),2231
100180,Danilo Luiz da Silva,Adrien Silva (6464); Bernardo Silva (3635); Danilo (2244); David Silva (617); Xande Silva (7312),2145
488024,Yéremy Pino Santos,Andrey Santos (11808); Yeremi Pino (9024),2074
434399,Reinildo Mandava,Reinildo (7432),1966
54771,Fabio Pereira da Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Fabio (1752); Xande Silva (7312),1847
466052,Rayan Cherki,Mathis Cherki (8094); Rayan (14395),1772
222564,Francisco Machado Mota de Castro Trincão,Trincão (8934),1328
532605,Andrey Nascimento dos Santos,Andrey Santos (11808),1254
241231,Jordan Beyer,Louis Beyer (6557),1234
163463,Papa Alioune Ndiaye,Badou Ndiaye (6525),1138
499604,Rayan Vitor Simplício Rocha,Rayan (14395),1110
240796,Álvaro Fernández,Álvaro Fernández (5191),1080
55317,Bernardo Espinosa Zúñiga,Bernardo (1716); Bernardo (5245); Bernardo Silva (3635),975
46483,Adrien Sebastian Perruchet Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),847
52538,Fernando Francisco Reges,Fernando (615); Fernando López (13200),568
40276,Bojan Krkic,Bojan (871),546
500016,Welington Damascena Santos,Andrey Santos (11808); Welington (13403),478
75826,Danny Ward,Danny Ward (473); Danny Ward (6830),435
48771,Emilio Nsue Lopez,Fernando López (13200); Nsue (1757),320
39790,Francisco Casilla Cortés,Kiko Casilla (2259),270
643135,Fer López González,Fernando López (13200),228
510363,Francisco Jorge Tomás Oliveira,"",209
40559,Fabricio Agosto Ramírez,"",180
616221,João Victor de Souza Menezes,Souza (14410),142
141569,Bonatini Lohner Maia Bonatini,Léo Bonatini (6855),130
653481,Alysson Edward Franco da Rocha dos Santos,Alysson Edward (14446); Andrey Santos (11808),47
209925,Alexandre Nascimento Costa Silva,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Xande Silva (7312),17
94926,Olayinka Fredrick Oladotun Ladapo,Freddie Ladapo (1778),16
166325,Carlos Ribeiro Dias,"",6
478028,Kayky da Silva Chagas,Adrien Silva (6464); Bernardo Silva (3635); David Silva (617); Kayky (10203); Xande Silva (7312),6
479683,Marcus Oliveira Alencar,"",1
